17:27 chenyuefei/tcc-gpu-sweeps has status "KernelWorkerStatus.RUNNING"
17:28 chenyuefei/tcc-bindinggpu has status "KernelWorkerStatus.RUNNING"
17:28 chenyuefei/notebook955c6cac50 has status "KernelWorkerStatus.RUNNING"
17:28 chenyuefei/notebookf4aab87efb has status "KernelWorkerStatus.RUNNING"
17:33 chenyuefei/tcc-gpu-sweeps has status "KernelWorkerStatus.RUNNING"
17:33 chenyuefei/tcc-bindinggpu has status "KernelWorkerStatus.RUNNING"
17:33 chenyuefei/notebook955c6cac50 has status "KernelWorkerStatus.RUNNING"
17:33 chenyuefei/notebookf4aab87efb has status "KernelWorkerStatus.RUNNING"
17:38 chenyuefei/tcc-gpu-sweeps has status "KernelWorkerStatus.RUNNING"
17:38 chenyuefei/tcc-bindinggpu has status "KernelWorkerStatus.COMPLETE"
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/EXECUTION_REPORT.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/NEXT_DIRECTIONS.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/README.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/TO_SUBMIT.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/__pycache__/run.cpython-312.pyc
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/benchmark/README.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/benchmark/fix_status_2.14.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/benchmark/historical_bugs.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_corpus/CAMPAIGN.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_corpus/SUMMARY.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_corpus/_dedup.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_corpus/isolated_children.log
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_corpus/progress.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_corpus/run_results.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_corpus/status.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_gh/CAMPAIGN.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_gh/SUMMARY.md
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_gh/_dedup.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_gh/isolated_children.log
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_gh/progress.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_gh/run_results.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/gpu_reports_binding_gh/status.json
Output file downloaded to D:\wsl\personal\dr\paper\toxic_compile\plan\kaggle_out\bindinggpu\plan/kaggle/RUN_3_7_1.md
